organic dates  175g, 28.57 , kg, 5.00, 0.175KG, 1
diced butternut pumpkin  700g, 7.86 , kg, 5.50, 0.7KG, 1
ginger 115g, 0.35 , kg, 3.98, 0.115KG, 1
medjool dates 907g, 19.85 , kg, 18.00, 0.907KG, 1
fruit salad pot 500g, 10.00 , kg, 5.00, 0.5KG, 1
honey roasted cashews 550g, 23.64 , kg, 13.00, 0.55KG, 1
brazil nuts 400g, 20.00 , kg, 8.00, 0.4KG, 1
honey balsamic salad dressing 200ml, 1.85 , kg, 3.70, 0.2L, 1
lemon and dijon mustard 200ml, 1.85 , kg, 3.70, 0.2L, 1
superfood salad bowl 180g, 33.33 , kg, 6.00, 0.18KG, 1
lebanese eggplant, 7.98 , kg, 0.72, lebanese eggplant 1 each, 1
beetroot 1 bunch, 4.98 , kg, 4.98, beetroot 1 bunch, 1
mini red potatoes  750g, 3.97 , kg, 2.98, 0.75KG, 1
red cabbage half, 1.50 , kg, 1.50, red cabbage half 1 each, 1
red bullhorn chillies loose  50g, 8.90 , kg, 0.45, 0.05KG, 1
mixed nuts 500g, 12.00 , kg, 6.00, 0.5KG, 1
black seedless grapes  500g, 9.96 , kg, 4.98, 0.5KG, 1
virginia rose potatoes, 3.49 , kg, 6.98, virginia rose potatoes prepacked 2kg, 1
gold kiwifruit, 0.80 , kg, 0.80, gold kiwifruit 1 each, 1
duet perino tomatoes  200g, 17.40 , kg, 3.48, 0.2KG, 1
lightly dried basil 12g, 325.0, kg, 3.90, 0.012KG, 1
lightly dried coriander pot 10g, 390.0, kg, 3.90, 0.01KG, 1
sunshine mix 250g, 19.92 , kg, 4.98, 0.25KG, 1
rockmelon fruit salad tub 300g, 15.00 , kg, 4.50, 0.3KG, 1
watermelon fruit salad tub 300g, 15.00 , kg, 4.50, 0.3KG, 1
australian pecans 300g, 35.00 , kg, 10.50, 0.3KG, 1
roasted salted cahews and macadamias 400g, 35.00 , kg, 14.00, 0.4KG, 1
chilli and lime soy snacks 350g, 14.29 , kg, 5.00, 0.35KG, 1
asian salad dressing 200ml, 18.50 , kg, 3.70, 0.2L, 1
mango and chilli salad dressing 200ml, 37.00 , kg, 3.70, 0.2L, 1
creamy garlic and parmesan salad dressing 200ml, 1.85 , kg, 3.70, 0.2L, 1
australian superfood leaf blend  300g, 18.33 , kg, 5.50, 0.3KG, 1
basil pasta salad 800g, 9.38 , kg, 7.50, 0.8KG, 1
turnips, 4.98 , kg, 0.90, turnips 1 each, 1
figs  300g, 19.93 , kg, 5.98, 0.3KG, 1
chokoes, 6.98 , kg, 2.09, chokoes 1 each, 1
sage punnet 15g, NA, kg, N, 0.015KG, A
chantenay carrots  375g, 5.28 , kg, 1.98, 0.375KG, 1
flat mushrooms  375g, 18.61 , kg, 6.98, 0.375KG, 1
rhubarb 1 bunch, 5.98 , kg, 5.98, rhubarb 1 bunch, 1
wombok cabbage whole, 6.98 , kg, 6.98, wombok cabbage whole 1 each, 1
red kale 1 bunch, 3.98 , kg, 3.98, red kale 1 bunch, 1
red seeded globe grapes loose  800g, 3.98 , kg, 3.18, 0.8KG, 1
red seedless grapes  500g, 9.96 , kg, 4.98, 0.5KG, 1
nectarines 3 pack, 1.33 , kg, 3.98, nectarines 3 pack, 1
kale and beetroot salad kit 200g, 30.00 , kg, 6.00, 0.2KG, 1
basil 115g, 0.35 , kg, 3.98, 0.115KG, 1
parsley 115g, 0.35 , kg, 3.98, 0.115KG, 1
