masterfoods bay leaves, 17.70, 0.01KG, 3.54, 2g, 1
masterfoods coriander leaves, 7.20, 0.01KG, 3.60, 5g, 1
masterfoods oregano leaves, 4.90, 0.01KG, 2.45, 5g, 1
masterfoods rosemary leaves, 1.34, 0.01KG, 2.14, 16g, 1
masterfoods sage leaves ground, 1.34, 0.01KG, 2.67, 20g, 1
masterfoods tarragon leaves, 4.44, 0.01KG, 3.11, 7g, 1
woolworths  basil leaves, 2.09, 0.01KG, 2.09, 10g, 1
woolworths  coriander leaves, 6.40, 0.01KG, 3.20, 5g, 1
woolworths  marjoram leaves, 4.12, 0.01KG, 2.47, 6g, 1
woolworths  oregano leaves, 1.92, 0.01KG, 1.92, 10g, 1
woolworths  rosemary leaves, 0.78, 0.01KG, 1.40, 18g, 1
woolworths  thyme leaves, 2.11, 0.01KG, 2.53, 12g, 1
hoyts lemon pepper, 0.45, 0.01KG, 2.26, 50g, 1
masterfoods lemon pepper, 0.31, 0.01KG, 5.21, 170g, 1
woolworths  mint flakes, 2.39, 0.01KG, 1.67, 7g, 1
hoyts mixed herbs, 0.62, 0.01KG, 1.56, 25g, 1
masterfoods mixed herbs dried, 2.13, 0.01KG, 2.13, 10g, 1
masterfoods mixed herbs dried, 0.96, 0.01KG, 3.82, 40g, 1
woolworths  mixed herbs dried, 1.53, 0.01KG, 1.83, 12g, 1
woolworths  mixed herbs dried, 0.75, 0.01KG, 2.47, 33g, 1
masterfoods mixed spice, 0.99, 0.01KG, 2.96, 30g, 1
hoyts mixed spices, 0.59, 0.01KG, 1.48, 25g, 1
masterfoods mixed spices ground allspice, 1.14, 0.01KG, 3.42, 30g, 1
woolworths  mixed spices, 0.84, 0.01KG, 2.53, 30g, 1
woolworths  mixed spices ground allspice, 0.97, 0.01KG, 2.90, 30g, 1
hoyts moroccan mix, 0.38, 0.01KG, 2.46, 65g, 1
masterfoods moroccan seasoning, 0.43, 0.01KG, 6.88, 160g, 1
masterfoods moroccan seasoning, 0.80, 0.01KG, 3.75, 47g, 1
woolworths  moroccan seasoning, 0.64, 0.01KG, 3.33, 52g, 1
hoyts mustard powder, 0.36, 0.01KG, 1.80, 50g, 1
hoyts mustard seed, 0.52, 0.01KG, 1.29, 25g, 1
keens mustard powder, 0.90, 0.01KG, 4.52, 50g, 1
hoyts nutmeg ground, 0.84, 0.01KG, 2.10, 25g, 1
hoyts nutmeg whole, 0.73, 0.01KG, 2.20, 30g, 1
masterfoods nutmeg ground, 1.07, 0.01KG, 3.21, 30g, 1
woolworths  nutmeg ground, 0.91, 0.01KG, 2.74, 30g, 1
hoyts onion dried, 0.42, 0.01KG, 1.67, 40g, 1
masterfoods onion flakes, 0.47, 0.01KG, 4.72, 100g, 1
masterfoods onion powder, 0.75, 0.01KG, 2.99, 40g, 1
masterfoods onion salt, 0.30, 0.01KG, 2.03, 68g, 1
hoyts oregano, 0.67, 0.01KG, 1.67, 25g, 1
masterfoods oregano leaves, 2.62, 0.01KG, 4.72, 18g, 1
